Category,QuestionNo,Question,Choices,Answer,Advice
平均,59,"P、Q、R、S、Tが1問1点で5問の英語の試験を受けた。これについて次のことが分かっている。

Ⅰ　P含めてちょうど3人が同じ点数で、他の2人は点数が同じだった。
Ⅱ　PとSの平均点は3.5点であった。
Ⅲ　PとQとRとSの平均点は3.5点であった。

このとき、必ず正しいといえる推論の組み合わせはどれか。

ア　PとSの得点は異なる。
イ　QとRの得点は等しい。
ウ　Tの得点は3点よりも高い。","A. アだけ
B. イだけ
C. ウだけ
D. アとイ
E. アとウ
F. イとウ
G. アとイとウ
H. 正しい推論はない。","答え：A

P+S=7、P+Q+R+S=14と分かる。これより、Q+R=7。
点数は整数なので2人の合計点が奇数のものは点数が異なる。よって、アは正しく、イは正しくない。ウに関して問題の情報からだと、Tと3の大小関係は分からない。","非言語の推論の問題は情報を整理する力が求められます。この問題のポイントとしては、番号が振られていない条件以外からも情報を得ることです。
例えばこの問題では、条件Ⅱ、Ⅲより、P＋Q＝P＋S＝R＋S＝7であることがわかります。この等式から、Q＝S、P＝R、Q＋R＝7も導けます。これをベースとして推論が正しいかを判断しましょう。アとイは2人の点数が等しいか、異なるかについての推論です。しかし、このベースだけではそれはわかりません。そこで点数が必ず整数であるという条件を用います。2人の点数の合計が奇数であるとき、2人の点数が等しくなることはありません。これを基準に選択肢が成り立つかを考えましょう。
このように条件として明文化されていないものも条件になり得るので注意しましょう。特に、整数条件は重要になりやすいので、見逃さないようにしましょう。"
平均,60,"P、Q、R、S、Tが1問1点で5問のクイズを受けた。これについて次のことが分かっている。

Ⅰ　P含めてちょうど３人が同じ点数で、他の2人は点数が同じだった。
Ⅱ　PとSの平均点は3.5点であった。
Ⅲ　PとQとRとSの4人の平均点は3.5点であった。

4人の点数すべてが確定するには、Ⅰ～Ⅲのほか、次のア、イ、ウのうちどれが加わればよいか。正しい組み合わせを選べ。ただし、点数確定に必要のない情報は含めてはいけない。

ア　PとQの点数は等しい。

イ　Tの点数は4点だった。

ウ　PとTの点数は等しい。","A. アだけ
B. イだけ
C. ウだけ
D. アとイ
E. アとウ
F. イとウ
G. アとイとウ
H. 正しい推論はない。","答え：D

P+S=7、P+Q+R+S=14と分かる。これより、Q+R=7。
点数は整数なので2人の合計点が奇数のものは点数が異なる。よって、PとS、QとRは点数が異なる。これより、PとTは同じ点数であり、QとRのどちらかとも点数が等しいことが分かる。

ア：これより、P=Q=T、R=Sが分かる。

イ：これとアより、P=Q=T=4、R=S=3と分かる。

ウ：この情報は問題文の時点で分かっている。

以上より、アとイが分かれば点数が確定する。","非言語の推論の問題は情報を整理する力が求められます。この問題のポイントとしては、I~Ⅲ以外の条件からも情報を得ることです。ここでは点数が整数という条件がそれにあたります。
例えばこの問題では、条件Ⅱ、Ⅲより、P＋S＝Q＋R＝7であることがわかります。ここで点数が必ず整数であることから、2人の点数の合計が奇数であるとき、2人の点数が等しくなることはありません。ゆえに、PとS、QとRはそれぞれ点数が異なります。これと条件Ⅰを組み合わせると、PとT、そしてQとRのどちらかの点数が同じであることがわかります。ゆえに、このQとRのどちらなのかを特定できる情報が追加で必要です。また、5人の相対的な点数の関係しかわかっていないので、基準となるような絶対的な点数の情報が必要です。これを踏まえると答えがアとイだとわかります。
このように条件として明文化されていないものも条件になり得るので注意しましょう。特に、整数条件は重要になりやすいので、見逃さないようにしましょう。"
位置関係,61,"X 、Y、Zの3人が、円形に並んだ４つの席のいずれかに座っている。各自の座り方について、次のことが分かっている。

Ⅰ　XとYは向かい合っていた。

Ⅱ　Yの右隣にZが座っていた。

Ⅲ　１番の席が空席であった。

Xが座った可能性のある席の番号はいくつか。","A. ２
B. ３
C. ４
D. ２か３
E. ２か４
F. ３か４","答え：C

Ⅰ、Ⅱより、時計回りにX、Z、Yと並んでいる。

１が空席であるので、Xは４に座っている。","非言語の推論の問題は情報を整理する力が求められます。このように位置関係を推測する問題では、わかっている情報を図にしてわかりやすくまとめましょう。
例えばこの問題では、時計回りに1~4の数字を割り当てた4つの〇が円形に並んだ図を考えましょう。次にⅢの情報から1番の席に×をつけましょう。すると2番、3番、4番の順に並んだ席が残るはずです。このときⅠの情報から、XとYの組が座っているのは2番と4番であるとわかります。最後にⅡの情報からYの積が2番だとわかるので、Xの席が4番だとわかります。
このようにわかっている情報を図にして考えやすい環境づくりをすることが大切です。"
位置関係,62,"X 、Y、Zの3人が、円形に並んだ４つの席のいずれかに座っている。各自の座り方について、次のことが分かっている。

Ⅰ　XとYは隣り合っていた。

Ⅱ　数字の2番の席は空席だった。

Zが座った可能性のある席の番号はいくつか。



","A. １
B. ３
C. ４
D. １か３
E. １か４
F. ３か４","答え：D

2番が空席でXとYが隣り合っているので、XとYは（１、４）（４、３）の組み合わせで座っている。よって、Zは１か３。","非言語の推論の問題は情報を整理する力が求められます。このように位置関係を推測する問題では、わかっている情報を図にしてわかりやすくまとめましょう。
例えばこの問題では、時計回りに1~4の数字を割り当てた4つの〇が円形に並んだ図を考えましょう。次にⅡの情報から2番の席に×をつけましょう。すると3番、4番、1番の順に並んだ席が残るはずです。XとYは隣り合っているとき、真ん中の4番の席にZが座っていないことは、図を見て考えればわかります。
このように、わかっている情報を図にして考えやすい環境づくりをすることが大切です。"
位置関係,63,"以下のような１〜５の５つの星で構成される星座がある。このうち、2個の星は赤く、残りの3個の星は青い。これに関して次のことが分かっている。
Ⅰ　赤い星同士は繋がっていない

Ⅱ　青い星は３つ連続して繋がっている。

Ⅲ　２つの赤い星と繋がっている青い星はない。

赤い星の組み合わせとして正しいものはどれか。



","A. １と５
B. １と３
C. ２と４
D. ２と５
E. ３と５","答え：A

Ⅰ、Ⅱより、赤い星の組み合わせは（１、５）か（２、５）か（４、５）。

このうちⅢを満たすのは（１、５）。","非言語の推論の問題は情報を整理する力が求められます。このように位置関係を推測する問題では、選択肢を1つずつ試して消去法で解いていきましょう。その際、簡単に違うことがわかる選択肢は、試す前に消すことが大切です。
例えばこの問題では、Ⅰより赤い星同士がつながっていないことがわかるので、選択肢Eの（3、5）は違うことが簡単にわかります。残り4つの選択肢についても、Ⅱの青い星が3つ連続で並べるスペースがあるかどうかは視覚的にわかりやすいので、Ⅱ、Ⅲの順に満たしているかを考えましょう。
このように消去法で解く際は、できるだけ労力を減らせる方法で解いていきましょう。"
位置関係,64,"以下の図は5つのビルを上から見たものであり、図の上が北である。ある会社XとYは、これらのうちそれぞれ１つのビルにオフィスを構えることになった。これに関して次のことが分かっている。



Ⅰ　XのビルとYのビルは隣り合ってない。

Ⅱ　YのビルはXのビルよりも北にある。

Xのビルはどれか。



","A. １
B. ２
C. ３
D. ４
E. ５","答え：E

Ⅰより、XとYの組み合わせは（１、５）（２、５）（３、５）（１、３）である。

これのうちⅡを満たすのは上記のうち、（１、５）（２、５）（３、５）である。いずれにせよXは５である。","非言語の推論の問題は情報を整理する力が求められます。このように位置関係を推測する問題では、選択肢を1つずつ試して消去法で解いていきましょう。その際、簡単に違うことがわかる選択肢は、試す前に消すことが大切です。
例えばこの問題では、ⅡよりXのビルはYのビルより図の下方向にあることがわかるので、4か5に絞り込めます。残り2つの選択肢について、条件Ⅰを満たしているかを考えると5が答えだとわかります。
このように消去法で解く際はできるだけ労力を減らせる方法で解いていきましょう。"
位置関係,66,"公園でP、Q、R、Sの4人が遊んでいた。公園には高い台と低い台の２つがあり、それぞれ１人ずつ乗り、残りの2人は台の下にいた。ただし、自分よりも低い、もしくは同じ高さの人のことは見ることができるものとする。

4人の関係に関して次のことが分かっている。



Ⅰ　PはSのことを見ることができない。

Ⅱ　QはRのことを見ることができる。

Ⅲ　RはQのことは見ることができる。

低い方の台に乗っているのは誰か。","A. P
B. Q
C. R
D. S
E. PかQ","答え：A

QとRはお互いのことを見ることができているので、2人が台の下にいる。

また、PはSを見ることができないので、低い方の台にいるのはPである。","非言語の推論の問題は情報を整理する力が求められます。このように順序のある位置関係を推測する問題では、不等号などの符号を用いて情報を整理しましょう。
この問題では、「ある人を見ることが出来る」＝「その人以上の高さにいる」ということなので、例えばⅠの条件は「P＜S」と表せます。同様にⅡの条件から「R≦Q」、Ⅲの条件から「R≦Q」がわかります。後は数学の不等号の問題のように大小関係を解いていきましょう。
このように符号を用いて情報を整理することで、単純な数学的問題に帰着できます。"
位置関係,69,"P、Q、Rの3人が、正六角形の頂点にある６つの席のいずれかに座っている。各自の座り方について次のことが分かっている。



Ⅰ　PとRは向かい合っている。

Ⅱ　Qの隣にはPが座っている。

Ⅲ　Qが座っているのは１番である。

Rが座る位置として可能性のある席は何番の席か。","A. 3
B. 4
C. ５
D. ３か５
E. ３か４か５","答え：D

Ⅱ、Ⅲより、Pが座る可能性があるのは２か６。よって、Rが座る可能性があるのは、３か５。","非言語の推論の問題は情報を整理する力が求められます。このように位置関係を推測する問題では、条件を処理していく順番が大切です。
例えばこの問題では、まずⅢから図の1の席にQを配置してから考えていきましょう。狭く確定できる情報から考えることが大切です。逆にⅠのようなPとRの位置が複数考えられてしまう条件は後にしましょう。次にⅡの条件から、Qの左隣と右隣にPを配置して、それぞれの場合において条件Ⅰを満たすようなRの位置を探しましょう。
このように条件から位置を推測する問題では、条件を考える順番を工夫しましょう。"
位置関係,70,"以下のように4個のコップが並んでいる。このコップの中には1個はキャンディが、別のコップ1個にはチョコレートが入っていて、残りの2個のコップには何も入っていない。これに関して次のことが分かっている。



Ⅰ　キャンディが入っているコップの隣に、チョコレートが入っているコップがある。

Ⅱ　左から2個目のコップは空である。

Ⅲ　チョコレートが入ったコップの隣には空のコップがあった。

キャンディが入っているのは左から何番目か。","A. 1
B. 2
C. 3
D. 4","答え：D

Ⅰ、Ⅱより、３か４にキャンディかチョコレートが入っている。

よって３より、キャンディは４。","非言語の推論の問題は情報を整理する力が求められます。このように位置関係を推測する問題では、条件を処理する方法が大切です。
例えばこの問題の条件Ⅰは、キャンディとチョコレートのコップを2つ並べてセットで考えましょう。Ⅲの条件も含めれば、空⇒チョコレート⇒キャンディ、あるいはキャンディ⇒チョコレート⇒空という3つのコップのセットで考えることができます。Ⅱの条件から、左から2個目のコップは空であることがわかるので、これを満たすセットは空（左から2個目）⇒チョコレート⇒キャンディのセットであるとわかります。ゆえに、キャンディは4であると導けます。
このように条件から位置を推測する問題では、扱いやすい方法で条件を処理しましょう。"
位置関係,71,"修学旅行でP、Q、R、Sの４つの班が図のような２階建ての民宿に泊まる。1つの班が1部屋に入るとして、次のことが分かっている。

201,	202,	203
101,	102,	103
 

Ⅰ　１０１と１０３は入った班はなかった。

Ⅱ　P班の入る部屋の真下にはQが入った。

R班が入った部屋として可能性があるのは何番か。","A. ２０２か１０２
B. ２０１か２０３
C. ２０２か２０３
D. ２０３か１０３","答え：B

１０２にQ、２０２にPが入ったことは確定する。よって、RとSは２０１か２０３である。","非言語の推論の問題は情報を整理する力が求められます。このように位置関係を推測する問題では、条件を処理していく順番が大切です。
例えばこの問題では、まず条件Ⅰから図の101と103の部屋に×をつけてから考えていきましょう。絶対位置を確定できる情報から考えることが大切です。逆に相対位置に関する条件は、可能性のある位置が複数考えられてしまうので後にしましょう。次にⅡの条件から、PとQを上下セットで考えていきます。相対位置に関する条件は、登場するものをセットで考えていきましょう。この上下セットを配置できるのは202と102の組だけなので、残りの201と203がR班の入った可能性のある部屋となります。
このように条件から位置を推測する問題では、条件を考える順番を工夫しましょう。"
位置関係,72,"修学旅行でP、Q、Rの3つの班が図のような２階建ての民宿に泊まる。1班が1部屋に泊まるとして、次のことが分かっている。

201,	202,	203
101,	102,	103
 

Ⅰ　１０２に入った班はなかった。

Ⅱ　P班が入った部屋の真下にはQ班が入った。

Ⅲ　R班が入る部屋の隣にはP班が入った。

R班が入る部屋として可能性があるのは何番か。","A. ２０１
B. ２０２
C. ２０３
D. ２０１か２０２
E. ２０２か２０３","答え：B

P、Qが入るのは（２０１、１０１）か（２０３、１０３）。

いずれにせよ、Pの隣になるのは２０２なので、Rは２０２。","非言語の推論の問題は情報を整理する力が求められます。このように位置関係を推測する問題では、条件を処理していく順番が大切です。
例えばこの問題では、まず条件Ⅰから図の102の部屋に×をつけてから考えていきましょう。絶対位置を確定できる情報から考えることが大切です。逆に相対位置に関する条件は、可能性のある位置が複数考えられてしまうので後にしましょう。次にⅡの条件から、PとQを上下セットで考えていきます。相対位置に関する条件は、登場するものをセットで考えていきましょう。この上下セットを配置できるのは（201、101）か（203、103）の2組ありますが、、いずれもR班の入った可能性のある部屋は202となります。
このように条件から位置を推測する問題では、条件を考える順番を工夫しましょう。"
カード・イン・サイコロ,73,１、２、３、４、５の5つのうち4つの数字を使って整数を作る。各位の数字が異なる４けたの整数の個数はいくつか。,"A. 24
B. 72
C. 120
D. 240
E. AからDのいずれでもない","答え：C

5つの数字を4つの位に当てはめるから、

₃P₄ = 120通り。","非言語の場合の数の問題は、情報を適切に把握する力が求められます。このような情報を整理して理解する問題では、問題の状況を具体的にイメージすることが重要です
例えばこの問題では、実際に1〜5を並べて4桁の数字を作ってみましょう。まず、1000の位から考えてみると、あり得るのは1〜5の5種類です。次に、100の位は1000の位で使ったもの以外の4つの数字から1つ選ぶので4種類、10の位と1の位も同様にまだ使われていない数字から1つを選びます。従って、求める場合の数は、5×4×3×2×1で120通りとわかります。
この様に問題をイメージするための作業を行いながら解いてみましょう。"
カード・イン・サイコロ,74,１、２、３、４、５の5つから4つの数字を選んで2桁の整数を2つ作る。両方とも偶数になるような作り方は何通りあるか。,"A. ４
B. ６
C. １０
D. １２
E. AからDのいずれでもない","答え：B

１の位が２か４であれば偶数になる。

それぞれの１０の位の数字を選ぶから、３×２＝６通り。","非言語の場合の数の問題は、情報を適切に把握する力が求められます。このような情報を整理して理解する問題では、整理の仕方を工夫することが重要です。
例えばこの問題では、厳しい条件が課されているものから考えてみましょう2つの整数はいずれも偶数であるので、1の位は2または4でなくてはなりません。なので①1の位が2のものと、②1の位が4のものに分けて考えてみましょう。まず、①は1、3、5の中から10の位を選びます。なぜなら4はもう1つの整数の1の位になるからです。そのため、あり得る可能性は3通り。次に、②も同様に2以外の3つの奇数から1つを10の位として選ぶので、3通りの可能性があります。従って、①と②から求める場合の数は6通りとなります。
この様に条件が厳しいものから考えて問題を解いてみましょう。"
カード・イン・サイコロ,75,"２つのサイコロP、Qをいっぺんに振った。出た目の積が10の倍数になるのは何通りか。

ただし、(P,Q) = (2,4),(4,2)は別の組み合わせとして考えるものとする。","A. 3
B. 5
C. 6
D. 10
E. AからDのいずれでもない","答え：C

10=2×5 であるから、片方のサイコロは５、もう片方のサイコロは２の倍数である場合を考える。２の倍数は２、４、６の3通りであるから、Xが５のときYは3通り。Yが５のときXは3通り。したがって、全部で3×2= 6通り。","非言語の場合の数の問題は、情報を適切に把握する力が求められます。このような情報を整理して理解する問題では、問題の状況を具体的にイメージすることが重要です。
例えばこの問題では、問題の条件に合う目の組み合わせを実際に書き出してみましょう。２つのサイコロの目の積は1〜36の間になるため、積が10の倍数になるのは、10、20、30のいずれかの時だとわかります。積が10になるのは(2,5),(5,2)の時であり、積が20になるのは(4,5),(5,4)の時、積が30になるのは(5,6),(6,5)の時です。従って、求める場合の数は6通りとわかります。
この様に、具体例を考えながら解いてみましょう。"
カード・イン・サイコロ,76,"２つのサイコロA、Bをいっぺんに振った。出た目の和が9になるのは何通りか。

ただし、(A,B) = (1,3),(3,1)はそれぞれ別の組み合わせとして考えるものとする。","A. 3
B. 4
C. 5
D. 6
E. AからDのいずれでもない","B

X、Y順に、（3、6）、（4、5）、（5、4）、（6、3）の場合は和が9になる。よって、4通り。","非言語の場合の数の問題は、情報を適切に把握する力が求められます。このような情報を整理して理解する問題では、問題の状況を具体的にイメージすることが重要です。
例えばこの問題では、該当する組み合わせを実際に書き出してみましょう。サイコロは1〜6のいずれかが出るため、その範囲内で2つの整数の和が9になるものを探します。まず、片方が1及び2の時は最大値の6と組み合わせてもその和が9未満になるため、これらは除くことができます。次に、片方が3の時は6と組んで和が9になります。なので(3,6),(6,3)が該当します。同様にして、片方が4の時は5と組んで和が9となります。なので(4,5),(5,4)も該当することがわかります。従って、求める場合の数は4通りとなります。
この様に、具体例を考えながら解いてみましょう。"
カード・イン・サイコロ,77,コイントスを5回行ったところ表が3回出た。このような出方は何通り考えられるか。,"A. 2
B. 6
C. 10
D. 30
E. AからDのいずれでもない","答え：C

コイントスした5回のうち、裏が出た2回を選ぶと考えると、
₃C₂ = 10通り。","非言語の場合の数の問題は、情報を適切に把握する力が求められます。このような情報を整理して理解する問題では、整理の仕方を工夫することが重要です。
例えばこの問題では、コインの裏表どちらが出たかではなく、表が出たのが何回目かに視点を移して考えてみましょう。そうすると、5回のうち3回が表であるので、表が出た3回を選ぶ場合の数を求めればいいことがわかります。従って、求める場合の数は₃C₂で10通りとわかります。
この様に、問題をシンプルにできないかを考えながら解いてみましょう。"
カード・イン・サイコロ,78,コイントスを5回行った。表が4回以上出るような出方は何通りか。,"A. 5
B. 6
C. 12
D. 20
E. AからDのいずれでもない","答え：B

裏が出た回数を考えると、0回か1回である。

裏が0回のとき：全て表なので1通り。

裏が1回のとき：投げた5回のうち、裏が出た1回を選ぶと考えると、
 ₅C₁= 5通り。

以上より、1 + 5 = 6通り。","非言語の場合の数の問題は、情報を適切に把握する力が求められます。このような情報を整理して理解する問題では、整理の仕方を工夫することが重要です。
例えばこの問題では、「表が4回以上出る」を換言して「裏が1回以下出る」と考えてみましょう。そうすると、求める場合の数は①裏が1回出る場合、②裏が0回出る場合の2つの場合の和であるとわかります。まず、①は1度だけ出る裏が何回目に出るかを考えてみると、可能性があるのは1〜5回目の計5通りだとわかります。次に、②が成立するのは全てが表の時の1通りだけなので1通りとわかります。従って、求める場合の数は6通りとわかります。
この様に、問題をシンプルに読み替えながら解いてみましょう。"
順列・組み合わせ,79,男子8人、女子5人の陸上部からマネージャーを2人選びたい。男女それぞれ1人ずつ選ぶとき、選び方は何通りか。,"A. 13
B. 18
C. 24
D. 40
E. 80","答え：D

男子、女子の選び方がそれぞれ８通り、５通りであるので、 8×5= 40通り。","非言語の場合の数の問題は、情報を適切に把握する力が求められます。このような情報を整理して理解する問題では、問題の状況を具体的にイメージすることが重要です。
この問題では登場人物に具体的な名前をつけて理解しましょう。男子の8人にそれぞれA〜Hの名前を割り振り、女子の5人に同様にI〜Mと名前を与えます。そして男女ひとりずつ選ぶので、Aを選んだ時、女子で選ばれ得るのはI〜Mの5人であり、Bを選んだ時に女子で選ばれ得るのも同様にI〜Mの5人です。以下、C〜Hも同様に考えて、求める場合の数は8×5＝40通りとわかります。
このように具体的にイメージしやすいように自分なりに加工することを意識して解いてみましょう。"
順列・組み合わせ,80,ゼミのメンバー7人が旅行に行くことになった。北海道に行くグループが4人、沖縄県に行くグループが3人であるとき、グループの作り方は何通りありえるか。,"A. 7
B. 21
C. 35
D. 91
E. 140","答え：C

7人の中から沖縄県に行く3人を選び、残った人は北海道に行くと考えればよいから、
 = 35通り。","非言語の場合の数の問題は、情報を適切に把握する力が求められます。このような情報を整理して理解する問題では、問題の状況を具体的にイメージすることが重要です。
例えばこの問題では、初めにメンバーにA〜Gの具体的な名前を与えます。次に沖縄のメンバーを考えます。7人の中から3人を選ぶので7×6×5×＝210としたくなりますが、これだと例えば、A,B,Cの組み合わせとC,A,Bの組み合わせを区別していることになります。今回は選ぶだけなので重複した組み合わせを省く必要があるので、₇C₃＝35通りとなります。
このように順番が関係あるのか、ただ選ぶだけなのかを注意して解いてみましょう。"
順列・組み合わせ,81,ゼミのメンバー10人が旅行に行くことになった。北海道に行く人が3人、沖縄県に行く人が3人、京都府に行く人が4人であるとき、メンバーの行き先の組み合わせは何通りか。,"A. 100
B. 700
C. 1600
D. 4200
E. 7200","答え：D

北海道に行く3人の組み合わせは、
 ₁₀C₃= 120通り。

残りの7人から沖縄県に行く3人の組み合わせは、
₇C₃ = 35通り。

さらに残った4人は自動的に京都行きと来まる。

したがって、メンバーの行き先の組み合わせは、120×35 = 4200通り。","非言語の場合の数の問題は、情報を適切に把握する力が求められます。このような情報を整理して理解する問題では、問題の状況を具体的にイメージすることが重要です。
例えばこの問題では、旅行先がだんだん決まっていく様子をイメージすることが有効です。まず、北海道に行くグループは、10人の中から3人が選ばれるので、₁₀C₃で120通りとなります。次に、沖縄に行くグループを考えるとき、北海道に行くメンバーについては考える必要がないため、残る7人から3人を選ぶので、₇C₃で35通りとなります。そして残った4人は京都行きとなり、可能性は1通りであるので、求める通りはこれらを掛け合わせた、
120×35で、4200通りとなります。
このように具体的なイメージを持ちながら解いてみましょう。"
順列・組み合わせ,82,テニス部の３年生には、男子が４人、女子が６人所属している。男子、女子から一人ずつ掃除当番を選ぶ時、その選び方は何通りか。,"A. 12
B. 24
C. 48
D. 80
E. 120","答え：B

男子、女子の選び方はそれぞれ4通り、６通り。よって、組み合わせは6×4 = 24通り。","非言語の場合の数の問題は、情報を適切に把握する力が求められます。このような情報を整理して理解する問題では、問題の状況を具体的にイメージすることが重要です。
例えばこの問題では出てくる数字が大きくないので、実際に樹系図を書いてみることで具体的にイメージできるでしょう。まず、男子4人にA〜 D、女子6人にE〜Jと名前をつけ、樹系図を描く準備をします。次に、Aとペアになり得る女子はE〜Jの6人であり、それらを樹系図に描きます。以下、B、C、 Dも同様にすると、合計で24通りの可能性があることがわかります。従って求める場合の数は24通りとなります。
このように、数が小さい場合は樹系図を描いて問題をイメージしやすくして解いてみましょう。"
順列・組み合わせ,83,P、Q、R、Sの4人で集合写真を撮ろうとした。Pの左隣にはRがいたとすると並び方は何通りか。,"A. 4
B. 6
C. 9
D. 15
E. 20","答え：B

並び方は、R P◯ ◯ 、◯R P◯、◯◯RPの3通り。

◯にはそれぞれQ、Sが入り、それらの並びは2通りある。

以上より、並び方は3×2 = 6通り。","非言語の場合の数の問題は、情報を適切に把握する力が求められます。このような情報を整理して理解する問題では、整理の仕方を工夫することが重要です。
例えばこの問題では、P Rという2人の並び方は予め決まっているため、この2人を1つの纏まり(ここではXとします。)とすることで問題をより単純なものにできます。そうすると、求める場合の数は、X、Q、Sの並び方の通りと一致することがわかります。従って、
で6通りが答えとなります。
このように、複雑な条件が課されている問題でも、うまく整理して問題を単純なものにしながら解いてみましょう。"
順列・組み合わせ,84,P、Q、R、Sの4人は警備員である。3時間交代で合計12時間、1人ずつ門の前で警備をした。全員1回ずつ警備をしたとすると、警備を担当した順番の組み合わせは何通りあるか。,"A. 4
B. 16
C. 24
D. 30
E. 72","答え：C

12÷3 = 4で4回の担当時間を4人で回す。したがって、4人の順番の組み合わせは₄P₄ = 24通り。","非言語の場合の数の問題は、情報を適切に把握する力が求められます。このような情報を整理して理解する問題では、問題の情報を取捨選択することが重要です。
この問題では、問題を解くのに必要のない情報を適切に見抜き、捨象することが重要です。「3時間交代」や「合計12時間」などは余計な情報であり、これらを切り捨てることで問題の要旨が見えてきます。それは、P〜Sの4人を順番に並べていくというシンプルなものです。従って、求める場合の数は、₄P₄で24通りとわかります。
このように、具体的すぎてかえってわかりにくいものは抽象化して解いてみましょう。"
